预测时间,城市,预测AQI,预测PM25,预测PM10,预测O3,预测NO2,污染等级,预警颜色,预警提示
2026-03-25 12:00:00,三亚,68.4,41.1,55.8,94.5,25.2,良,黄色,无预警
2026-03-25 13:00:00,三亚,68.4,41.1,55.8,94.5,25.2,良,黄色,无预警
2026-03-25 14:00:00,三亚,68.5,41.1,55.8,95.0,25.2,良,黄色,无预警
2026-03-25 15:00:00,三亚,68.5,41.1,55.9,95.0,25.2,良,黄色,无预警
2026-03-25 16:00:00,三亚,68.5,41.1,55.9,95.0,25.1,良,黄色,无预警
2026-03-25 17:00:00,三亚,68.5,41.1,55.9,95.0,25.1,良,黄色,无预警
2026-03-25 18:00:00,三亚,68.5,41.1,55.9,95.0,25.1,良,黄色,无预警
2026-03-25 19:00:00,三亚,68.5,41.1,55.9,95.0,25.0,良,黄色,无预警
2026-03-25 20:00:00,三亚,68.5,41.1,55.9,95.0,25.0,良,黄色,无预警
2026-03-25 21:00:00,三亚,68.5,41.1,55.9,95.0,25.0,良,黄色,无预警
2026-03-25 22:00:00,三亚,68.5,41.1,55.8,94.7,25.0,良,黄色,无预警
2026-03-25 23:00:00,三亚,68.4,41.1,55.8,94.8,25.0,良,黄色,无预警
2026-03-25 00:00:00,三明,63.8,38.1,52.7,95.2,25.0,良,黄色,无预警
2026-03-25 01:00:00,三明,63.8,38.1,52.8,94.8,25.0,良,黄色,无预警
2026-03-25 02:00:00,三明,63.8,38.1,52.8,94.8,25.0,良,黄色,无预警
2026-03-25 03:00:00,三明,63.8,38.1,52.8,94.5,25.0,良,黄色,无预警
2026-03-25 04:00:00,三明,63.8,38.1,52.7,94.5,25.0,良,黄色,无预警
2026-03-25 05:00:00,三明,63.8,38.1,52.7,94.5,25.0,良,黄色,无预警
2026-03-25 06:00:00,三明,63.8,38.1,52.7,94.5,25.1,良,黄色,无预警
2026-03-25 07:00:00,三明,63.8,38.1,52.7,94.5,25.1,良,黄色,无预警
2026-03-25 08:00:00,三明,63.8,38.1,52.7,94.5,25.1,良,黄色,无预警
2026-03-25 09:00:00,三明,63.8,38.1,52.7,94.5,25.2,良,黄色,无预警
2026-03-25 10:00:00,三明,63.8,38.1,52.7,94.5,25.2,良,黄色,无预警
2026-03-25 11:00:00,三明,63.8,38.1,52.7,94.0,25.2,良,黄色,无预警
2026-03-25 12:00:00,三明,63.8,38.1,52.7,94.0,25.2,良,黄色,无预警
2026-03-25 13:00:00,三明,63.8,38.1,52.7,94.0,25.2,良,黄色,无预警
2026-03-25 14:00:00,三明,63.8,38.1,52.7,94.5,25.2,良,黄色,无预警
2026-03-25 15:00:00,三明,63.8,38.1,52.7,94.5,25.2,良,黄色,无预警
2026-03-25 16:00:00,三明,63.9,38.1,52.7,94.5,25.1,良,黄色,无预警
2026-03-25 17:00:00,三明,63.9,38.1,52.7,94.5,25.1,良,黄色,无预警
2026-03-25 18:00:00,三明,63.9,38.1,52.8,94.5,25.1,良,黄色,无预警
2026-03-25 19:00:00,三明,63.9,38.1,52.7,94.5,25.0,良,黄色,无预警
2026-03-25 20:00:00,三明,63.9,38.1,52.7,94.5,25.0,良,黄色,无预警
2026-03-25 21:00:00,三明,63.9,38.1,52.7,94.5,25.0,良,黄色,无预警
2026-03-25 22:00:00,三明,63.9,38.1,52.7,94.5,25.0,良,黄色,无预警
2026-03-25 23:00:00,三明,63.8,38.1,52.7,94.6,25.0,良,黄色,无预警
2026-03-25 00:00:00,三沙,70.6,42.1,58.3,96.1,25.2,良,黄色,无预警
2026-03-25 01:00:00,三沙,70.7,42.1,57.9,96.1,24.8,良,黄色,无预警
2026-03-25 02:00:00,三沙,70.7,42.1,57.8,96.1,24.8,良,黄色,无预警
2026-03-25 03:00:00,三沙,70.7,42.1,57.8,96.1,24.8,良,黄色,无预警
2026-03-25 04:00:00,三沙,70.6,42.0,57.7,96.1,24.8,良,黄色,无预警
2026-03-25 05:00:00,三沙,70.6,42.0,57.7,96.3,24.8,良,黄色,无预警
2026-03-25 06:00:00,三沙,70.6,42.0,57.7,96.3,24.9,良,黄色,无预警
2026-03-25 07:00:00,三沙,70.6,42.0,57.7,96.3,24.9,良,黄色,无预警
2026-03-25 08:00:00,三沙,70.6,42.0,57.7,96.3,24.9,良,黄色,无预警
2026-03-25 09:00:00,三沙,70.6,42.0,57.7,96.3,25.0,良,黄色,无预警
2026-03-25 10:00:00,三沙,70.6,42.0,57.7,96.3,25.0,良,黄色,无预警
2026-03-25 11:00:00,三沙,70.6,42.0,57.7,95.8,25.0,良,黄色,无预警
2026-03-25 12:00:00,三沙,70.6,42.0,57.7,95.3,25.0,良,黄色,无预警
2026-03-25 13:00:00,三沙,70.6,42.0,57.7,95.3,25.0,良,黄色,无预警
2026-03-25 14:00:00,三沙,70.6,42.0,57.7,95.8,25.0,良,黄色,无预警
2026-03-25 15:00:00,三沙,70.6,42.0,57.7,95.8,25.0,良,黄色,无预警
2026-03-25 16:00:00,三沙,70.6,42.0,57.7,95.8,24.9,良,黄色,无预警
2026-03-25 17:00:00,三沙,70.6,42.0,57.7,95.8,24.9,良,黄色,无预警
2026-03-25 18:00:00,三沙,70.6,42.0,57.8,95.8,24.9,良,黄色,无预警
2026-03-25 19:00:00,三沙,70.6,42.0,57.7,95.8,24.8,良,黄色,无预警
2026-03-25 20:00:00,三沙,70.6,42.0,57.7,95.8,24.8,良,黄色,无预警
2026-03-25 21:00:00,三沙,70.6,42.0,57.7,95.8,24.8,良,黄色,无预警
2026-03-25 22:00:00,三沙,70.6,42.0,57.7,95.8,24.8,良,黄色,无预警
2026-03-25 23:00:00,三沙,70.6,42.0,57.7,96.0,24.8,良,黄色,无预警
2026-03-25 00:00:00,三门峡,57.9,34.4,48.0,94.9,25.2,良,黄色,无预警
2026-03-25 01:00:00,三门峡,57.9,34.4,47.8,94.9,24.8,良,黄色,无预警
2026-03-25 02:00:00,三门峡,57.9,34.4,47.9,95.0,24.9,良,黄色,无预警
2026-03-25 03:00:00,三门峡,57.9,34.4,47.9,95.0,24.9,良,黄色,无预警
2026-03-25 04:00:00,三门峡,57.9,34.4,47.9,95.0,24.9,良,黄色,无预警
2026-03-25 05:00:00,三门峡,57.8,34.4,47.9,95.0,24.9,良,黄色,无预警
2026-03-25 06:00:00,三门峡,57.8,34.4,47.9,95.0,25.0,良,黄色,无预警
2026-03-25 07:00:00,三门峡,57.8,34.4,47.9,95.0,25.0,良,黄色,无预警
2026-03-25 08:00:00,三门峡,57.8,34.4,47.9,95.0,25.0,良,黄色,无预警
2026-03-25 09:00:00,三门峡,57.8,34.4,47.9,95.0,25.1,良,黄色,无预警
2026-03-25 10:00:00,三门峡,57.8,34.4,47.9,95.0,25.1,良,黄色,无预警
2026-03-25 11:00:00,三门峡,57.8,34.4,47.9,95.0,25.1,良,黄色,无预警
2026-03-25 12:00:00,三门峡,57.8,34.4,47.9,95.0,25.1,良,黄色,无预警
2026-03-25 13:00:00,三门峡,57.8,34.4,47.9,95.0,25.1,良,黄色,无预警
2026-03-25 14:00:00,三门峡,57.9,34.4,47.9,95.0,25.1,良,黄色,无预警
2026-03-25 15:00:00,三门峡,57.9,34.4,47.9,95.0,25.1,良,黄色,无预警
2026-03-25 16:00:00,三门峡,57.9,34.4,47.9,95.0,25.0,良,黄色,无预警
2026-03-25 17:00:00,三门峡,57.9,34.4,47.9,95.0,25.0,良,黄色,无预警
2026-03-25 18:00:00,三门峡,57.9,34.4,48.0,95.0,25.0,良,黄色,无预警
2026-03-25 19:00:00,三门峡,57.9,34.4,47.9,95.0,24.9,良,黄色,无预警
2026-03-25 20:00:00,三门峡,57.9,34.4,47.9,95.0,24.9,良,黄色,无预警
2026-03-25 21:00:00,三门峡,57.9,34.4,47.9,95.0,24.9,良,黄色,无预警
2026-03-25 22:00:00,三门峡,57.9,34.4,47.9,95.0,24.9,良,黄色,无预警
2026-03-25 23:00:00,三门峡,57.9,34.4,47.9,95.1,24.9,良,黄色,无预警
2026-03-25 00:00:00,上海,59.0,35.1,49.3,94.7,24.9,良,黄色,无预警
2026-03-25 01:00:00,上海,59.0,35.1,49.4,94.7,24.8,良,黄色,无预警
2026-03-25 02:00:00,上海,59.0,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 03:00:00,上海,59.0,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 04:00:00,上海,59.0,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 05:00:00,上海,59.0,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 06:00:00,上海,59.0,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 07:00:00,上海,59.0,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 08:00:00,上海,59.0,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 09:00:00,上海,59.0,35.1,49.4,95.0,25.1,良,黄色,无预警
2026-03-25 10:00:00,上海,59.0,35.1,49.4,95.0,25.1,良,黄色,无预警
2026-03-25 11:00:00,上海,59.0,35.1,49.4,95.0,25.1,良,黄色,无预警
2026-03-25 12:00:00,上海,59.0,35.1,49.4,95.0,25.1,良,黄色,无预警
2026-03-25 13:00:00,上海,59.0,35.1,49.4,95.0,25.1,良,黄色,无预警
2026-03-25 14:00:00,上海,59.0,35.1,49.4,95.0,25.1,良,黄色,无预警
2026-03-25 15:00:00,上海,59.0,35.1,49.4,95.0,25.1,良,黄色,无预警
2026-03-25 16:00:00,上海,59.1,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 17:00:00,上海,59.1,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 18:00:00,上海,59.1,35.1,49.5,95.0,25.0,良,黄色,无预警
2026-03-25 19:00:00,上海,59.1,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 20:00:00,上海,59.1,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 21:00:00,上海,59.0,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 22:00:00,上海,59.0,35.1,49.4,95.0,25.0,良,黄色,无预警
2026-03-25 23:00:00,上海,59.0,35.1,49.4,95.1,25.0,良,黄色,无预警
2026-03-25 00:00:00,上饶,62.4,37.3,52.3,96.8,24.7,良,黄色,无预警
2026-03-25 01:00:00,上饶,62.4,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 02:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 03:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 04:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 05:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 06:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 07:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 08:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 09:00:00,上饶,62.5,37.5,52.2,94.7,25.1,良,黄色,无预警
2026-03-25 10:00:00,上饶,62.5,37.5,52.2,94.7,25.1,良,黄色,无预警
2026-03-25 11:00:00,上饶,62.5,37.5,52.2,94.2,25.1,良,黄色,无预警
2026-03-25 12:00:00,上饶,62.5,37.5,52.2,94.2,25.1,良,黄色,无预警
2026-03-25 13:00:00,上饶,62.5,37.5,52.2,94.2,25.1,良,黄色,无预警
2026-03-25 14:00:00,上饶,62.5,37.5,52.2,94.7,25.1,良,黄色,无预警
2026-03-25 15:00:00,上饶,62.5,37.5,52.3,94.7,25.1,良,黄色,无预警
2026-03-25 16:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 17:00:00,上饶,62.5,37.5,52.3,94.7,25.1,良,黄色,无预警
2026-03-25 18:00:00,上饶,62.5,37.5,52.3,94.7,25.1,良,黄色,无预警
2026-03-25 19:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 20:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 21:00:00,上饶,62.5,37.5,52.3,94.7,25.0,良,黄色,无预警
2026-03-25 22:00:00,上饶,62.5,37.5,52.2,94.7,25.0,良,黄色,无预警
2026-03-25 23:00:00,上饶,62.5,37.5,52.2,94.8,25.0,良,黄色,无预警
2026-03-25 00:00:00,东莞,67.2,40.4,55.3,96.0,25.2,良,黄色,无预警
2026-03-25 01:00:00,东莞,67.0,40.2,55.2,95.5,25.3,良,黄色,无预警
2026-03-25 02:00:00,东莞,67.0,40.2,55.2,95.5,25.3,良,黄色,无预警
2026-03-25 03:00:00,东莞,67.0,40.2,55.2,95.5,25.3,良,黄色,无预警
2026-03-25 04:00:00,东莞,67.0,40.2,55.2,95.0,25.3,良,黄色,无预警
2026-03-25 05:00:00,东莞,67.0,40.2,55.2,95.0,25.3,良,黄色,无预警
2026-03-25 06:00:00,东莞,67.0,40.2,55.2,95.0,25.4,良,黄色,无预警
2026-03-25 07:00:00,东莞,67.0,40.2,55.2,95.0,25.4,良,黄色,无预警
2026-03-25 08:00:00,东莞,67.0,40.2,55.2,95.0,25.4,良,黄色,无预警
2026-03-25 09:00:00,东莞,67.0,40.2,55.2,95.0,25.5,良,黄色,无预警
2026-03-25 10:00:00,东莞,67.0,40.2,55.2,94.7,25.5,良,黄色,无预警
2026-03-25 11:00:00,东莞,67.0,40.2,55.2,94.2,25.5,良,黄色,无预警
2026-03-25 12:00:00,东莞,67.0,40.2,55.2,94.2,25.5,良,黄色,无预警
2026-03-25 13:00:00,东莞,67.0,40.2,55.2,94.2,25.5,良,黄色,无预警
2026-03-25 14:00:00,东莞,67.1,40.2,55.2,94.7,25.5,良,黄色,无预警
2026-03-25 15:00:00,东莞,67.1,40.2,55.2,94.7,25.5,良,黄色,无预警
2026-03-25 16:00:00,东莞,67.1,40.2,55.2,94.7,25.4,良,黄色,无预警
2026-03-25 17:00:00,东莞,67.1,40.2,55.2,94.7,25.4,良,黄色,无预警
2026-03-25 18:00:00,东莞,67.1,40.2,55.3,94.7,25.4,良,黄色,无预警
2026-03-25 19:00:00,东莞,67.1,40.2,55.2,94.7,25.3,良,黄色,无预警
2026-03-25 20:00:00,东莞,67.1,40.2,55.2,94.7,25.3,良,黄色,无预警
2026-03-25 21:00:00,东莞,67.1,40.2,55.2,94.7,25.3,良,黄色,无预警
2026-03-25 22:00:00,东莞,67.1,40.2,55.2,94.7,25.3,良,黄色,无预警
2026-03-25 23:00:00,东莞,67.0,40.2,55.2,94.8,25.3,良,黄色,无预警
2026-03-25 00:00:00,东营,55.2,33.0,45.7,94.5,25.0,良,黄色,无预警
2026-03-25 01:00:00,东营,55.2,33.0,45.7,95.0,24.9,良,黄色,无预警
2026-03-25 02:00:00,东营,55.2,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 03:00:00,东营,55.2,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 04:00:00,东营,55.2,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 05:00:00,东营,55.2,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 06:00:00,东营,55.2,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 07:00:00,东营,55.2,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 08:00:00,东营,55.2,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 09:00:00,东营,55.2,33.0,45.7,95.1,25.1,良,黄色,无预警
2026-03-25 10:00:00,东营,55.2,33.0,45.7,95.1,25.1,良,黄色,无预警
2026-03-25 11:00:00,东营,55.2,33.0,45.7,95.1,25.1,良,黄色,无预警
2026-03-25 12:00:00,东营,55.2,33.0,45.7,95.1,25.1,良,黄色,无预警
2026-03-25 13:00:00,东营,55.2,33.0,45.7,95.1,25.1,良,黄色,无预警
2026-03-25 14:00:00,东营,55.2,33.0,45.7,95.1,25.1,良,黄色,无预警
2026-03-25 15:00:00,东营,55.2,33.0,45.7,95.1,25.1,良,黄色,无预警
2026-03-25 16:00:00,东营,55.3,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 17:00:00,东营,55.3,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 18:00:00,东营,55.3,33.0,45.8,95.1,25.0,良,黄色,无预警
2026-03-25 19:00:00,东营,55.3,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 20:00:00,东营,55.3,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 21:00:00,东营,55.3,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 22:00:00,东营,55.3,33.0,45.7,95.1,25.0,良,黄色,无预警
2026-03-25 23:00:00,东营,55.2,33.0,45.7,95.3,25.0,良,黄色,无预警
2026-03-25 00:00:00,中卫,56.0,33.1,46.3,94.3,24.8,良,黄色,无预警
2026-03-25 01:00:00,中卫,56.0,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 02:00:00,中卫,56.0,33.1,46.3,94.9,25.0,良,黄色,无预警
2026-03-25 03:00:00,中卫,56.0,33.1,46.3,94.9,25.0,良,黄色,无预警
2026-03-25 04:00:00,中卫,56.0,33.1,46.3,94.9,25.0,良,黄色,无预警
2026-03-25 05:00:00,中卫,56.0,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 06:00:00,中卫,56.0,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 07:00:00,中卫,56.0,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 08:00:00,中卫,56.0,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 09:00:00,中卫,56.0,33.1,46.3,95.0,25.1,良,黄色,无预警
2026-03-25 10:00:00,中卫,56.0,33.1,46.3,95.0,25.1,良,黄色,无预警
2026-03-25 11:00:00,中卫,56.0,33.1,46.3,95.0,25.1,良,黄色,无预警
2026-03-25 12:00:00,中卫,56.0,33.1,46.3,95.0,25.1,良,黄色,无预警
2026-03-25 13:00:00,中卫,56.0,33.1,46.3,95.0,25.1,良,黄色,无预警
2026-03-25 14:00:00,中卫,56.0,33.1,46.3,95.0,25.1,良,黄色,无预警
2026-03-25 15:00:00,中卫,56.0,33.1,46.3,95.0,25.1,良,黄色,无预警
2026-03-25 16:00:00,中卫,56.1,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 17:00:00,中卫,56.1,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 18:00:00,中卫,56.1,33.1,46.4,95.0,25.0,良,黄色,无预警
2026-03-25 19:00:00,中卫,56.1,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 20:00:00,中卫,56.1,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 21:00:00,中卫,56.0,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 22:00:00,中卫,56.0,33.1,46.3,95.0,25.0,良,黄色,无预警
2026-03-25 23:00:00,中卫,56.0,33.1,46.3,95.1,25.0,良,黄色,无预警
2026-03-25 00:00:00,中山,67.1,40.1,55.2,95.7,25.1,良,黄色,无预警
2026-03-25 01:00:00,中山,67.0,39.8,55.1,100.2,24.9,良,黄色,无预警
2026-03-25 02:00:00,中山,66.9,40.1,55.1,95.0,25.0,良,黄色,无预警
2026-03-25 03:00:00,中山,66.9,40.1,55.1,95.0,25.0,良,黄色,无预警
2026-03-25 04:00:00,中山,66.9,40.1,55.1,95.0,25.0,良,黄色,无预警
2026-03-25 05:00:00,中山,66.9,40.1,55.1,95.0,25.0,良,黄色,无预警
2026-03-25 06:00:00,中山,66.9,40.1,55.1,95.0,25.1,良,黄色,无预警
2026-03-25 07:00:00,中山,66.9,40.1,55.1,94.7,25.1,良,黄色,无预警
2026-03-25 08:00:00,中山,66.9,40.1,55.1,94.7,25.1,良,黄色,无预警
2026-03-25 09:00:00,中山,66.9,40.1,55.1,94.7,25.2,良,黄色,无预警
2026-03-25 10:00:00,中山,66.9,40.1,55.1,94.7,25.2,良,黄色,无预警
2026-03-25 11:00:00,中山,66.9,40.1,55.1,94.2,25.2,良,黄色,无预警
2026-03-25 12:00:00,中山,66.9,40.1,55.1,94.2,25.2,良,黄色,无预警
2026-03-25 13:00:00,中山,66.9,40.1,55.1,94.2,25.2,良,黄色,无预警
2026-03-25 14:00:00,中山,67.0,40.1,55.1,94.7,25.2,良,黄色,无预警
2026-03-25 15:00:00,中山,67.0,40.1,55.1,94.7,25.2,良,黄色,无预警
2026-03-25 16:00:00,中山,67.0,40.1,55.1,94.7,25.1,良,黄色,无预警
2026-03-25 17:00:00,中山,67.0,40.1,55.1,94.7,25.1,良,黄色,无预警
2026-03-25 18:00:00,中山,67.0,40.1,55.2,94.7,25.1,良,黄色,无预警
2026-03-25 19:00:00,中山,67.0,40.1,55.1,94.7,25.0,良,黄色,无预警
2026-03-25 20:00:00,中山,67.0,40.1,55.1,94.7,25.0,良,黄色,无预警
2026-03-25 21:00:00,中山,67.0,40.1,55.1,94.7,25.0,良,黄色,无预警
2026-03-25 22:00:00,中山,67.0,40.1,55.1,94.7,25.0,良,黄色,无预警
2026-03-25 23:00:00,中山,66.9,40.1,55.1,94.8,25.0,良,黄色,无预警
2026-03-25 00:00:00,临夏回族自治州,57.1,34.2,47.6,95.1,24.6,良,黄色,无预警
2026-03-25 01:00:00,临夏回族自治州,57.1,34.2,47.6,95.1,25.0,良,黄色,无预警
2026-03-25 02:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.0,良,黄色,无预警
2026-03-25 03:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.0,良,黄色,无预警
2026-03-25 04:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.0,良,黄色,无预警
2026-03-25 05:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.0,良,黄色,无预警
2026-03-25 06:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.0,良,黄色,无预警
2026-03-25 07:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.0,良,黄色,无预警
2026-03-25 08:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.0,良,黄色,无预警
2026-03-25 09:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.1,良,黄色,无预警
2026-03-25 10:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.1,良,黄色,无预警
2026-03-25 11:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.1,良,黄色,无预警
2026-03-25 12:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.1,良,黄色,无预警
2026-03-25 13:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.1,良,黄色,无预警
2026-03-25 14:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.1,良,黄色,无预警
2026-03-25 15:00:00,临夏回族自治州,57.1,34.2,47.7,95.0,25.1,良,黄色,无预警
2026-03-25 16:00:00,临夏回族自治州,57.2,34.2,47.7,95.0,25.0,良,黄色,无预警
2026-03-25 17:00:00,临夏回族自治州,57.2,34.2,47.7,95.0,25.0,良,黄色,无预警
2026-03-25 18:00:00,临夏回族自治州,57.2,34.2,47.7,95.0,25.0,良,黄色,无预警
2026-03-25 19:00:00,临夏回族自治州,57.2,34.2,47.7,95.0,25.0,良,黄色,无预警
2026-03-25 20:00:00,临夏回族自治州,57.2,34.2,47.7,95.0,25.0,良,黄色,无预警
2026-03-25 21:00:00,临夏回族自治州,57.1,34.2,47.7,95.0,25.0,良,黄色,无预警
2026-03-25 22:00:00,临夏回族自治州,57.1,34.2,47.6,95.0,25.0,良,黄色,无预警
2026-03-25 23:00:00,临夏回族自治州,57.1,34.2,47.6,95.1,25.0,良,黄色,无预警
2026-03-25 00:00:00,临汾,56.6,33.8,46.6,94.8,25.0,良,黄色,无预警
2026-03-25 01:00:00,临汾,56.6,33.8,46.6,95.0,24.9,良,黄色,无预警
2026-03-25 02:00:00,临汾,56.6,33.8,46.6,94.8,25.0,良,黄色,无预警
2026-03-25 03:00:00,临汾,56.6,33.8,46.6,94.8,25.0,良,黄色,无预警
2026-03-25 04:00:00,临汾,56.6,33.8,46.6,94.8,25.0,良,黄色,无预警
2026-03-25 05:00:00,临汾,56.6,33.8,46.6,94.8,25.0,良,黄色,无预警
